import time: self [us] | cumulative | imported package
import time:       265 |        265 |   _io
import time:        35 |         35 |   marshal
import time:       334 |        334 |   posix
import time:       350 |        983 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:        91 |        185 | zipimport
import time:        89 |         89 |     _codecs
import time:       265 |        353 |   codecs
import time:       405 |        405 |   encodings.aliases
import time:       635 |       1392 | encodings
import time:       176 |        176 | encodings.utf_8
import time:        94 |         94 | _signal
import time:        29 |         29 |     _abc
import time:       114 |        142 |   abc
import time:       209 |        351 | io
import time:        50 |         50 |       _stat
import time:        57 |        107 |     stat
import time:       672 |        672 |     _collections_abc
import time:        43 |         43 |       genericpath
import time:        59 |        101 |     posixpath
import time:       338 |       1216 |   os
import time:        67 |         67 |   _sitebuiltins
import time:       114 |        114 |   sitecustomize
import time:       325 |       1720 | site
import time:       340 |        340 |       warnings
import time:       661 |       1000 |     importlib
import time:        60 |       1060 |   importlib.machinery
import time:       152 |        152 |     importlib._abc
import time:       274 |        274 |     types
import time:       115 |        540 |   importlib.util
import time:        79 |       1678 | runpy
import time:       111 |        111 | diffwitness
import time:       114 |        114 |   __future__
import time:        53 |         53 |       _heapq
import time:       176 |        229 |     heapq
import time:       135 |        135 |       itertools
import time:       129 |        129 |       keyword
import time:        64 |         64 |         _operator
import time:       296 |        360 |       operator
import time:       175 |        175 |       reprlib
import time:        56 |         56 |       _collections
import time:      1083 |       1935 |     collections
import time:        57 |         57 |           _functools
import time:       581 |        638 |         functools
import time:      1291 |       1928 |       enum
import time:        78 |         78 |         _sre
import time:       290 |        290 |           re._constants
import time:       332 |        621 |         re._parser
import time:       120 |        120 |         re._casefix
import time:       431 |       1249 |       re._compiler
import time:       213 |        213 |       copyreg
import time:       461 |       3850 |     re
import time:       766 |       6778 |   difflib
import time:      1368 |       1368 |     _hashlib
import time:        68 |         68 |     _blake2
import time:       214 |       1648 |   hashlib
import time:        39 |         39 |         _json
import time:       390 |        428 |       json.scanner
import time:       421 |        848 |     json.decoder
import time:       437 |        437 |     json.encoder
import time:       222 |       1505 |   json
import time:       184 |        184 |     fnmatch
import time:        51 |         51 |       _winapi
import time:        37 |         37 |       nt
import time:        32 |         32 |       nt
import time:        31 |         31 |       nt
import time:        29 |         29 |       nt
import time:        29 |         29 |       nt
import time:        28 |         28 |       nt
import time:       118 |        351 |     ntpath
import time:        53 |         53 |     errno
import time:       136 |        136 |       urllib
import time:        64 |         64 |       math
import time:      1949 |       1949 |       ipaddress
import time:      1230 |       3378 |     urllib.parse
import time:       815 |       4778 |   pathlib
import time:       241 |      15062 | diffwitness.entry
import time:       662 |        662 |     gettext
import time:      1120 |       1782 |   argparse
import time:       588 |        588 |   contextlib
import time:        33 |         33 |     _contextvars
import time:       101 |        133 |   contextvars
import time:        91 |         91 |       zlib
import time:       301 |        301 |         _compression
import time:        53 |         53 |         _bz2
import time:       202 |        555 |       bz2
import time:        56 |         56 |         _lzma
import time:       211 |        267 |       lzma
import time:       665 |       1576 |     shutil
import time:        74 |         74 |         _locale
import time:       965 |       1039 |       locale
import time:       513 |        513 |       signal
import time:       165 |        165 |         _weakrefset
import time:       643 |        807 |       threading
import time:        65 |         65 |       fcntl
import time:        57 |         57 |       msvcrt
import time:        31 |         31 |       _posixsubprocess
import time:        45 |         45 |       select
import time:       123 |        123 |         collections.abc
import time:       522 |        645 |       selectors
import time:       693 |       3890 |     subprocess
import time:        37 |         37 |           _bisect
import time:       201 |        237 |         bisect
import time:        40 |         40 |         _random
import time:        42 |         42 |         _sha2
import time:       361 |        679 |       random
import time:       337 |        337 |       weakref
import time:       376 |       1391 |     tempfile
import time:        39 |         39 |       _typing
import time:      2351 |       2390 |     typing
import time:       440 |       9684 |   diffwitness.gitops
import time:       151 |      12336 | diffwitness.language
import time:       126 |        126 |     _datetime
import time:       117 |        243 |   datetime
import time:       166 |        166 |       copy
import time:       157 |        157 |       diffwitness.continuity_task_contract
import time:       246 |        246 |       diffwitness.continuity_lifecycle_contract
import time:       806 |        806 |       diffwitness.continuity_git_contract
import time:       509 |       1882 |     diffwitness.continuity_contract
import time:      4265 |       4265 |             _ast
import time:      1439 |       5703 |           ast
import time:        39 |         39 |               _opcode
import time:       465 |        503 |             opcode
import time:       855 |       1358 |           dis
import time:       125 |        125 |               token
import time:        32 |         32 |               _tokenize
import time:      1788 |       1944 |             tokenize
import time:       167 |       2111 |           linecache
import time:      2706 |      11876 |         inspect
import time:      2646 |      14522 |       dataclasses
import time:       254 |        254 |       diffwitness.json_contract
import time:      3609 |      18384 |     diffwitness.continuity_events
import time:        81 |         81 |             _struct
import time:       122 |        203 |           struct
import time:        57 |         57 |           binascii
import time:       389 |        648 |         base64
import time:       169 |        169 |         hmac
import time:       798 |       1614 |       secrets
import time:     12081 |      12081 |       diffwitness.models
import time:       351 |        351 |       diffwitness.runner
import time:       344 |      14388 |     diffwitness.engine_protocol
import time:       432 |      35083 |   diffwitness.continuity_bridge
import time:       292 |        292 |         _sqlite3
import time:       221 |        512 |       sqlite3.dbapi2
import time:       170 |        682 |     sqlite3
import time:        32 |         32 |             _string
import time:       618 |        650 |           string
import time:       128 |        128 |             tomllib._types
import time:      1135 |       1262 |           tomllib._re
import time:       654 |       2565 |         tomllib._parser
import time:       101 |       2666 |       tomllib
