import time: self [us] | cumulative | imported package
import time:     24288 |      24288 |   _io
import time:       118 |        118 |   marshal
import time:     15497 |      15497 |   posix
import time:      9601 |      49502 | _frozen_importlib_external
import time:       322 |        322 |   time
import time:       226 |        548 | zipimport
import time:        72 |         72 |     _codecs
import time:       623 |        694 |   codecs
import time:      1286 |       1286 |   encodings.aliases
import time:     37638 |      39617 | encodings
import time:       659 |        659 | encodings.utf_8
import time:       126 |        126 | _signal
import time:        47 |         47 |     _abc
import time:       184 |        231 |   abc
import time:       420 |        650 | io
import time:       136 |        136 |       _stat
import time:       128 |        263 |     stat
import time:      1536 |       1536 |     _collections_abc
import time:       905 |        905 |       genericpath
import time:       154 |       1059 |     posixpath
import time:       592 |       3449 |   os
import time:        83 |         83 |   _sitebuiltins
import time:       293 |        293 |   sitecustomize
import time:       652 |       4475 | site
import time:       430 |        430 |       warnings
import time:      3294 |       3723 |     importlib
import time:        51 |       3774 |   importlib.machinery
import time:       155 |        155 |     importlib._abc
import time:       347 |        347 |     types
import time:       231 |        732 |   importlib.util
import time:       110 |       4615 | runpy
import time:       188 |        188 | diffwitness
import time:       194 |        194 |   __future__
import time:       135 |        135 |       _heapq
import time:       271 |        406 |     heapq
import time:       676 |        676 |       itertools
import time:       334 |        334 |       keyword
import time:       136 |        136 |         _operator
import time:      1312 |       1448 |       operator
import time:       244 |        244 |       reprlib
import time:       117 |        117 |       _collections
import time:      2803 |       5620 |     collections
import time:       342 |        342 |           _functools
import time:      1424 |       1765 |         functools
import time:      3918 |       5683 |       enum
import time:       202 |        202 |         _sre
import time:      4035 |       4035 |           re._constants
import time:      1356 |       5391 |         re._parser
import time:       163 |        163 |         re._casefix
import time:      1737 |       7491 |       re._compiler
import time:       233 |        233 |       copyreg
import time:      2437 |      15842 |     re
import time:      2100 |      23966 |   difflib
import time:      5066 |       5066 |     _hashlib
import time:       351 |        351 |     _blake2
import time:       719 |       6135 |   hashlib
import time:        69 |         69 |         _json
import time:       891 |        960 |       json.scanner
import time:      1962 |       2922 |     json.decoder
import time:      1462 |       1462 |     json.encoder
import time:       677 |       5060 |   json
import time:       317 |        317 |     fnmatch
import time:       668 |        668 |       _winapi
import time:        65 |         65 |       nt
import time:        51 |         51 |       nt
import time:        61 |         61 |       nt
import time:        43 |         43 |       nt
import time:        39 |         39 |       nt
import time:        38 |         38 |       nt
import time:       251 |       1213 |     ntpath
import time:        75 |         75 |     errno
import time:       303 |        303 |       urllib
import time:       189 |        189 |       math
import time:      7955 |       7955 |       ipaddress
